id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
30676000,1750000,HOUSE,HOUSE,Flanders,Limburg,Maaseik,3941,51.1561558,5.4026885,1930.0,119,533.0,4,4,0,0,0,0,0,0,0,0,0,MISSING,795.0,F,GAS,1,307.0
76711000,6500000,HOUSE,APARTMENT_BLOCK,Flanders,Flemish Brabant,Leuven,3290,50.9793015,5.054575,1964.0,0,302.0,3,7,0,0,1,0,0,1,220,0,0,GOOD,226.0,C,GAS,1,2771.0
9558000,2750000,HOUSE,VILLA,Wallonia,Liège,Liège,4050,50.5817246,5.6339098,1975.0,109,812.0,4,3,0,0,0,0,0,1,700,0,0,TO_RENOVATE,630.0,G,ELECTRIC,1,1127.0
4186000,4290000,HOUSE,HOUSE,Flanders,East Flanders,Gent,9080,51.0970517,3.8546842,1988.0,125,838.0,0,3,0,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,412.0,E,FUELOIL,1,996.0
24548000,1800000,HOUSE,HOUSE,Wallonia,Liège,Liège,4100,50.5973254,5.4881705,1918.0,100,124.0,2,3,0,0,0,1,20,1,70,0,1,AS_NEW,202.0,C,GAS,0,342.0
18065000,1950000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9260,51.0082109,3.9382587,1986.0,0,698.0,4,2,0,0,1,0,0,0,0,0,0,TO_RENOVATE,644.0,F,ELECTRIC,1,954.0
57399000,3950000,HOUSE,VILLA,Wallonia,Namur,Namur,5300,50.5025507,5.100616,1977.0,230,950.0,4,4,0,0,0,0,0,0,0,0,0,MISSING,337.0,D,FUELOIL,1,1373.0
30226000,2550000,HOUSE,APARTMENT_BLOCK,Wallonia,Hainaut,Soignies,7100,50.4763097,4.1839463,2020.0,200,73.0,2,3,0,0,0,0,0,0,0,0,0,AS_NEW,134.0,B,GAS,1,1700.0
6283000,1900000,HOUSE,HOUSE,Wallonia,Liège,Liège,4101,50.624805,5.522576,1918.0,96,225.0,2,2,0,0,0,1,0,1,173,0,0,GOOD,552.0,G,FUELOIL,0,535.0
32231000,4450000,HOUSE,APARTMENT_BLOCK,Flanders,Antwerp,Antwerp,2020,51.187417,4.3762244,1946.0,371,120.0,2,6,0,0,1,0,0,1,0,0,0,TO_RENOVATE,390.0,D,GAS,1,1564.0
70916000,4800000,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1080,50.8485835,4.3032763,1939.0,223,219.0,2,6,0,0,0,0,0,1,110,0,0,GOOD,416.0,G,MISSING,1,1608.0
31327000,3990000,HOUSE,HOUSE,Wallonia,Namur,Namur,5300,50.4762649,5.0502286,2001.0,176,1400.0,4,4,0,0,0,0,0,0,0,0,0,MISSING,204.0,C,FUELOIL,1,1156.0
60544000,11500000,HOUSE,VILLA,Flanders,Flemish Brabant,Halle-Vilvoorde,1860,50.9253537,4.3341198,1979.0,350,1752.0,4,4,0,0,1,1,1,1,1,0,1,GOOD,282.0,C,GAS,1,4276.0
70471000,4790000,HOUSE,VILLA,Flanders,Antwerp,Turnhout,2340,51.31545,4.867803,1984.0,209,1291.0,4,3,0,0,0,0,0,1,611,0,0,GOOD,310.0,D,FUELOIL,1,1978.0
34622000,2190000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9255,51.0276226,4.2219947,1874.0,171,120.0,2,2,0,0,0,0,0,0,0,0,0,GOOD,653.0,F,GAS,1,272.0
73218000,1850000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6041,50.4642145,4.4303588,1918.0,120,280.0,2,2,0,0,0,1,0,0,0,0,0,GOOD,443.0,F,FUELOIL,0,446.0
34169000,3890000,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1000,50.8513323,4.3756097,1899.0,171,140.0,2,3,0,0,1,0,0,0,0,0,0,TO_RENOVATE,481.0,G,GAS,1,1108.0
69949000,2950000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8211,51.1210878,3.0982016,1985.0,130,420.0,3,4,0,0,0,1,0,0,0,0,0,TO_BE_DONE_UP,273.0,C,FUELOIL,1,924.0
63871000,4950000,HOUSE,VILLA,Flanders,West Flanders,Kortrijk,8510,50.7972309,3.2208596,1997.0,0,669.0,4,4,0,0,0,1,30,1,250,0,0,AS_NEW,237.0,C,GAS,1,1127.0
18725000,2600000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,50.7268778,4.2452207,1930.0,94,122.0,2,2,0,0,1,0,0,0,0,0,1,GOOD,225.0,C,GAS,0,581.0
64784000,8950000,HOUSE,MANSION,Wallonia,Liège,Liège,4000,50.637099,5.5668893,1850.0,400,0.0,3,5,0,0,1,0,0,0,0,0,1,AS_NEW,306.0,D,FUELOIL,0,4370.0
44811000,1750000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9140,51.1277527,4.1983134,1935.0,0,0.0,2,6,0,0,0,1,0,0,0,0,0,TO_RENOVATE,959.0,F,ELECTRIC,1,708.0
71401000,2750000,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8580,50.7739369,3.4419026,2010.0,124,339.0,3,3,0,0,0,1,15,1,100,0,0,AS_NEW,179.0,B,GAS,1,482.0
9221000,4395000,HOUSE,HOUSE,Flanders,Limburg,Tongeren,3630,50.9480891,5.6730783,1970.0,240,1298.0,0,4,0,0,0,0,0,0,0,0,0,JUST_RENOVATED,197.0,B,GAS,1,1088.0
53078000,3750000,HOUSE,HOUSE,Wallonia,Liège,Liège,4040,50.6599949,5.6171064,1997.0,186,530.0,3,3,0,0,0,0,0,1,300,0,1,GOOD,279.0,D,FUELOIL,1,1250.0
31450000,12250000,HOUSE,APARTMENT_BLOCK,Flanders,East Flanders,Dendermonde,9280,51.00385,4.1338963,1993.0,607,1919.0,2,13,0,0,0,1,0,0,0,0,1,GOOD,123.0,B,GAS,1,3289.0
37312000,3750000,HOUSE,BUNGALOW,Flanders,East Flanders,Eeklo,9968,51.2340581,3.6820013,1982.0,165,720.0,4,3,0,0,0,1,32,0,0,0,0,MISSING,368.0,D,GAS,1,1.0
43314000,1600000,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3550,51.0503585,5.3109382,1992.0,125,817.0,4,3,0,0,0,0,0,0,0,0,1,MISSING,566.0,F,GAS,0,733.0
27698000,2100000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8490,51.1655135,3.08096,1967.0,0,471.0,4,5,0,0,1,0,0,0,0,0,1,MISSING,1049.0,F,MISSING,0,770.0
64330000,2650000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2370,51.3450601,5.1157624,1948.0,210,521.0,3,3,0,0,1,0,0,1,0,0,0,TO_RENOVATE,456.0,E,FUELOIL,1,641.0
27129000,4800000,HOUSE,HOUSE,Wallonia,Luxembourg,Arlon,6791,49.5640037,5.8339853,1964.0,200,358.0,4,5,0,0,0,1,40,0,0,0,1,MISSING,249.0,C,GAS,1,1370.0
77747000,2990000,HOUSE,HOUSE,Flanders,East Flanders,Gent,9050,51.0352349,3.7471759,1918.0,135,64.0,0,3,0,0,0,0,0,0,0,0,0,MISSING,670.0,F,GAS,1,446.0
